구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2018-12-22,2400,4185,4729,0,11296,8760,10408,6776
2018-12-23,27372,27497,24075,0,56380,52664,3096,56024
2018-12-24,23397,24788,20378,0,40852,37176,6200,43712
2018-12-25,6723,6884,11156,0,21308,19016,19376,12344
2018-12-26,23555,24950,23986,0,46280,43152,40904,38648
2018-12-27,36462,36436,32456,0,71900,71032,71592,71952
2018-12-28,35890,36451,35667,0,58700,69056,69016,12240
2018-12-29,32323,15279,28699,0,57388,57488,55560,0
2018-12-30,27710,0,25020,0,47576,48848,44936,0
2018-12-31,26680,23990,34246,66484,22393,64208,68344,68344
2019-01-01,31775,32843,32663,53636,54572,47612,57556,57556
2019-01-02,26336,28699,24246,40796,37344,39552,47488,47488
2019-01-03,13791,19452,14995,30272,25540,29980,29988,29988
2019-01-04,1583,4182,2855,10752,9728,10656,8136,8136
2019-01-05,27342,30266,26574,49590,44294,45950,51190,51190
2019-01-06,25367,27471,21337,40280,35144,37280,18392,18392
2019-01-07,17777,22177,17602,32352,29088,31240,0,0
2019-01-08,24545,33222,30144,52942,50254,51510,8838,8838
2019-01-09,16982,18882,17979,35720,32344,34432,32680,32680
2019-01-10,12945,14825,10890,19932,16064,13264,23968,23968
2019-01-11,8271,9291,7532,11456,13048,13136,13584,13584
2019-01-12,13752,15669,10459,21184,16960,19248,25832,25832
2019-01-13,19553,21644,15054,30588,23496,28328,36200,36200
2019-01-14,10712,11959,8791,17184,10480,15384,19016,19016
2019-01-15,22212,23284,21760,37884,37688,38976,40544,40544
2019-01-16,29332,31342,27726,48520,44496,48208,53464,53464
2019-01-17,21385,22249,20953,31792,31008,27624,34344,34344
2019-01-18,5615,6417,4689,10196,8432,10088,11584,11584
2019-01-19,827,11995,11693,16696,17056,19656,19632,19632
2019-01-20,0,34457,32634,1896,61760,61576,28248,28248
2019-01-21,7509,22965,22213,16356,35008,32920,0,0
2019-01-22,8598,8563,8397,13588,13496,11168,0,0
2019-01-23,12988,13400,11894,19752,17808,16912,12160,12160
2019-01-24,19721,11519,16618,31024,28432,29480,35680,35680
2019-01-25,19013,15136,20057,36884,35712,37848,37776,37776
2019-01-26,35697,35368,34718,51496,65504,66120,69280,69280
2019-01-27,10774,11521,8350,16676,14128,14560,18968,18968
2019-01-28,24190,24714,21024,40352,38032,32792,39296,39296
2019-01-29,8908,9650,8695,17288,14800,15808,15640,15640
2019-01-30,2399,2966,1521,4620,4088,4120,5928,5928
2019-01-31,28512,29972,30038,60612,59912,60728,56064,56064
2019-02-01,24199,24665,17845,40872,41904,37368,43072,43072
2019-02-02,10971,8534,12166,23284,18872,21456,22472,22472
2019-02-03,28691,30140,29525,50828,51024,52376,56248,56248
2019-02-04,24914,25555,24641,43532,41944,42088,43088,43088
2019-02-05,1659,674,1823,5152,4600,4808,1624,1624
2019-02-06,0,248,174,608,600,336,624,624
2019-02-07,0,25007,24897,48124,47872,47600,48800,48800
2019-02-08,3312,30139,27824,51204,49912,49216,50584,50584
2019-02-09,0,34283,31382,61812,55808,61112,64736,64736
2019-02-10,0,23156,19838,35856,32528,35792,37352,37352
2019-02-11,4695,31643,28759,50872,49136,48480,55256,55256
2019-02-12,5936,9919,12153,21728,18200,11744,14336,14336
2019-02-13,23841,26386,23685,43796,40664,42848,43048,43048
2019-02-14,174,14896,16081,26972,25328,27264,24224,24224
2019-02-15,13552,15554,8703,22356,17952,21728,26784,26784
2019-02-16,35250,36072,35576,47884,46752,82696,87592,87592
2019-02-17,27101,30027,27621,0,0,82896,91296,91296
2019-02-18,3806,4219,5327,10268,0,10656,9144,9144
2019-02-19,19230,0,21450,34160,0,34904,36256,36256
2019-02-20,15761,0,16105,25048,0,22440,29544,29544
2019-02-21,14983,0,15273,29448,0,29520,30600,30600
2019-02-22,8328,6491,10049,17000,1944,16128,18232,18232
2019-02-23,10678,11814,9964,17668,16,15104,19776,19776
2019-02-24,3010,3301,1918,5816,4264,4512,5720,5720
2019-02-25,18184,19086,15354,25984,23480,27176,34624,34624
2019-02-26,19132,20797,17604,32356,30912,31616,32272,32272
2019-02-27,2975,5965,6256,14624,11968,12120,7880,7880
2019-02-28,24426,26033,19684,39112,32968,32616,41600,41600
2019-03-01,16213,18398,13899,25872,21928,22960,29568,29568
2019-03-02,254,619,1028,3048,2584,3464,1712,1712
2019-03-03,12452,10658,9426,48,19152,17000,13384,13384
2019-03-04,25818,27672,24383,14992,38488,39144,46296,46296
2019-03-05,2369,2975,4194,8964,7024,8824,4704,4704
2019-03-06,17191,21436,21615,38148,37320,34352,34240,34240
2019-03-07,33291,34993,33922,59996,56840,58608,64264,64264
2019-03-08,2777,3461,2166,5268,4920,5128,5640,5640
2019-03-09,6031,6262,5531,12844,13840,13392,9440,9440
2019-03-10,21394,23823,20767,42196,36112,40040,41648,41648
2019-03-11,18855,18672,18923,32704,31144,29496,34136,34136
2019-03-12,21467,25207,25700,44944,37248,40224,46104,46104
2019-03-13,20529,20581,17000,34512,26736,31888,34584,34584
2019-03-14,14492,15303,16019,34600,34696,34928,35792,35792
2019-03-15,20602,21998,21538,37288,36096,36360,38664,38664
2019-03-16,14344,17054,15623,22392,23320,24656,29048,29048
2019-03-17,11594,14755,12124,21720,17136,20808,22064,22064
2019-03-18,1410,1416,1894,5040,3408,4176,3432,3432
2019-03-19,2684,3726,2295,5376,4440,5496,7272,7272
2019-03-20,24417,24675,23712,47280,40344,46464,44568,44568
2019-03-21,29717,31052,29395,53020,49504,51960,56672,56672
2019-03-22,36077,35416,33737,52948,47592,49576,53992,53992
2019-03-23,31616,32286,22331,38120,54144,24352,59616,59616
2019-03-24,8640,9567,0,2128,12192,0,16104,16104
2019-03-25,447,820,301,1244,1872,1160,1032,1032
2019-03-26,7959,7867,7692,12604,12192,5624,408,408
2019-03-27,2982,9788,12866,19920,20816,20128,20616,20616
2019-03-28,0,3321,2524,5684,4808,4880,5352,5352
2019-03-29,903,1189,791,3199,3665,1580,0,0
2019-03-30,9698,13271,12559,20200,4808,20448,21096,21096
2019-03-31,8199,8665,8557,14100,0,14432,15312,15312
2019-04-01,18245,18315,18221,27564,11638,25336,26752,26752
2019-04-02,5245,5463,3408,5988,8032,7376,9984,9984
2019-04-03,10312,10553,8797,2112,16616,18240,15032,15032
2019-04-04,651,1226,983,1408,1648,288,2792,2792
